,PhraseNo,Phrase,IsHateSpeech,Tokens
0,8,"['Menna', 'ratawal', 'menna', 'minissu', '.', 'ape', 'ratawal', 'wala', 'inna', 'jathin', 'thunema', 'gothrikayo', 'tika', 'manussayo', 'karala', 'inna', 'wenawa', '.']",1,"['menna', 'ratawal', 'menna', 'minissu', 'ape', 'ratawal', 'wala', 'inna', 'jathin', 'thunema', 'gothrikayo', 'tika', 'manussayo', 'karala', 'inna', 'wenawa']"
1,12,"['paduway', 'hitahan', 'beri', 'weda', 'nokaran', 'bat', 'eka', 'gaththada', 'bole', 'elluwada', 'oka', 'karagena', 'inna', 'oyala', 'desapalanayata', 'atha', 'daruwan', 'therum', 'ganna', 'nikan', 'thiyena', 'prrsiddath', 'nethi', 'karanna', 'epa']",1,"['paduway', 'hitahan', 'beri', 'weda', 'nokaran', 'bat', 'eka', 'gaththada', 'bole', 'elluwada', 'oka', 'karagena', 'inna', 'oyala', 'desapalanayata', 'atha', 'daruwan', 'therum', 'ganna', 'nikan', 'thiyena', 'prrsiddath', 'nethi', 'karanna', 'epa']"
2,13,"['muth', 'kata', 'arinne', 'anik', 'unta', 'witharai', 'jathiyata', 'agamata', 'sadda', 'na', 'endiyawata', 'koti', 'ganan', 'denawa', 'ahinsakayant', 'ape', 'rate', 'unta', 'mukuth', 'na']",1,"['muth', 'kata', 'arinne', 'anik', 'unta', 'witharai', 'jathiyata', 'agamata', 'sadda', 'na', 'endiyawata', 'koti', 'ganan', 'denawa', 'ahinsakayant', 'ape', 'rate', 'unta', 'mukuth', 'na']"
3,14,"['songs', 'kanna', 'epa', 'buruwo', 'kochchara', 'lassana', 'sindu', 'kanna', 'epa', 'ubalata', 'song', 'karanna', 'barinam', 'nikan', 'edapan', 'thiyana', 'ewa', 'kanna', 'epa']",1,"['songs', 'kanna', 'epa', 'buruwo', 'kochchara', 'lassana', 'sindu', 'kanna', 'epa', 'ubalata', 'song', 'karanna', 'barinam', 'nikan', 'edapan', 'thiyana', 'ewa', 'kanna', 'epa']"
4,15,"['Muth', 'nanna', 'yanne.kridakayanta', ',', 'ground', 'walata', 'wena', 'asadaranakam', 'walata', 'wachanayak', 'eliyata', 'danne', 'nathi', 'aka', 'rata', 'hadanna', 'yanawa.Mahela', 'karanam', 'api', 'akenma', 'set', '.']",1,"['muth', 'nanna', 'yanne kridakayanta', 'ground', 'walata', 'wena', 'asadaranakam', 'walata', 'wachanayak', 'eliyata', 'danne', 'nathi', 'aka', 'rata', 'hadanna', 'yanawa mahela', 'karanam', 'api', 'akenma', 'set']"
5,16,"['Ai', 'mahinda', 'gen', 'polonnaruve', 'valikande', 'hmbawnaAkkara', '1800', 'maddida', 'sanga', 'den', 'unp', 'yen', 'akkara', 'kiyak', 'onida', '?', 'Apita', 'ogama', 'danna', 'kaururh', 'nane', 'dun', 'noth', 'apith', 'dannava', 'karan', 'naoni', 'vada']",1,"['ai', 'mahinda', 'gen', 'polonnaruve', 'valikande', 'hmbawnaakkara', '1800', 'maddida', 'sanga', 'den', 'unp', 'yen', 'akkara', 'kiyak', 'onida', 'apita', 'ogama', 'danna', 'kaururh', 'nane', 'dun', 'noth', 'apith', 'dannava', 'karan', 'naoni', 'vada']"
6,17,"['ජයසූරිය', 'mathakada', 'ow', 'ow', 'sanath', 'ජයසූරිය', 'thama', '...', '..eyatath', 'wada', 'KUJITHA', 'wela', 'yannai', 'sangata', 'wenne']",1,"['mathakada', 'ow', 'ow', 'sanath', 'thama', 'eyatath', 'wada', 'kujitha', 'wela', 'yannai', 'sangata', 'wenne']"
7,19,"['Dana', 'reddak', 'sinhalen', 'danna', 'kiyanna..', 'meka', 'lankawa']",1,"['dana', 'reddak', 'sinhalen', 'danna', 'kiyanna', 'meka', 'lankawa']"
8,20,"['කියන්න', 'වැඩ', 'හොදනම්', 'හදවතින්ම', 'සපෝර්ට්', 'හැබැයි', 'පොහොට්ටුව', 'samaga', 'නොවී', 'U', 'N', 'p', 'nam', 'නම්', 'හුරේ']",1,"['samaga', 'u', 'n', 'p', 'nam']"
9,21,"['President', 'wenna', 'puluwan', 'bauddayekuta', 'witharai', '.', 'Me', 'yaka', 'Croatian']",1,"['president', 'wenna', 'puluwan', 'bauddayekuta', 'witharai', 'me', 'yaka', 'croatian']"
10,26,"['ඔය', 'කාරනය', 'හරියට', 'විග්\u200dරහ', 'කරන්න', 'ඩුප්ලිකේට්', 'මහමෙව්නාවේ', 'ඩුප්ලිකේට්', 'කල්\u200dයාණ', 'මිතුරන්ට', 'පුලුවන්', 'නම්', 'දිව්\u200dය', 'ලෝක', 'promote', 'කරයි\u200d', 'ද', '?']",1,['promote']
11,28,"['Aka', 'satha', '5k', 'wadi', 'karanna', 'epa', 'okunta', ',', 'wada', 'karanna', 'bai', 'nam', 'job', 'eken', 'elawanna', ',', 'eliye', 'job', 'nathi', 'ewun', 'oni', 'tharam', 'ennawa', '.']",1,"['aka', 'satha', '5k', 'wadi', 'karanna', 'epa', 'okunta', 'wada', 'karanna', 'bai', 'nam', 'job', 'eken', 'elawanna', 'eliye', 'job', 'nathi', 'ewun', 'oni', 'tharam', 'ennawa']"
12,33,"['kisi', 'quality', 'ekak', 'nathi', 'apatayek']",1,"['kisi', 'quality', 'ekak', 'nathi', 'apatayek']"
13,34,"['Munta', 'chande', 'Dena', 'buruwo', 'innawane', 'thawath', 'me', 'rate']",1,"['munta', 'chande', 'dena', 'buruwo', 'innawane', 'thawath', 'me', 'rate']"
14,36,"['thota', 'henagapiya', 'kadaya', 'thilangayawa', 'hurathal', 'karapan', 'esige', 'putha']",1,"['thota', 'henagapiya', 'kadaya', 'thilangayawa', 'hurathal', 'karapan', 'esige', 'putha']"
15,37,"['cricket', 'kridawa', 'kawe', 'oi', 'thirisana', '...', 'oi', 'putuwa', 'deehan', 'sangata', '.', 'Un', 'dawiwaru', 'yakooo..']",1,"['cricket', 'kridawa', 'kawe', 'oi', 'thirisana', 'oi', 'putuwa', 'deehan', 'sangata', 'un', 'dawiwaru', 'yakooo']"
16,38,"['kwda', 'me', 'lat', 'roy', 'kiyana', 'ekaa', '?', 'lat', 'hoodana', 'ekek', 'da', '?']",1,"['kwda', 'me', 'lat', 'roy', 'kiyana', 'ekaa', 'lat', 'hoodana', 'ekek', 'da']"
17,39,"['ekata', 'ape', 'eka..thuuu', '...', '.']",1,"['ekata', 'ape', 'eka thuuu']"
