,PhraseNo,Phrase,IsHateSpeech,Tokens
0,1,"['මේ', 'බැල්ලි', 'කොටින්ගේ', 'ගු', 'කනකොට', 'අපහසුවක්', 'දැනුනෙ', 'නැද්ද', 'දන්', 'නැහැ', '.', 'ඔකිට', 'මිනිහා', 'මැරුනම', 'දැනුන', 'දුකට', 'වඩා', 'දහස්', 'ගුනයක', 'දුකක්', 'දැනෙනවා', 'ඉස්සරහට', 'උපසම්පදාව', 'තියන', 'භික්සුවක්', 'හිරේ', 'යැවුවට', 'ඔකි', 'වැඩියෙන්ම', 'ආදරේ', 'කෙනෙක්', 'ඔකිට', 'නැති', 'වෙනවා', 'වැඩි', 'කල්', 'නොගිහින්']",1,"['මේ', 'බැල්ලි', 'කොටින්ගේ', 'ගු', 'කනකොට', 'අපහසුවක්', 'දැනුනෙ', 'නැද්ද', 'දන්', 'නැහැ', 'ඔකිට', 'මිනිහා', 'මැරුනම', 'දැනුන', 'දුකට', 'වඩා', 'දහස්', 'ගුනයක', 'දුකක්', 'දැනෙනවා', 'ඉස්සරහට', 'උපසම්පදාව', 'තියන', 'භික්සුවක්', 'හිරේ', 'යැවුවට', 'ඔකි', 'වැඩියෙන්ම', 'ආදරේ', 'කෙනෙක්', 'ඔකිට', 'නැති', 'වෙනවා', 'වැඩි', 'කල්', 'නොගිහින්']"
1,2,"['මන්', 'ඊයේ', 'මුස්ලිම්', 'ඩෑල්', 'එකක්', 'එක්ක', 'සෙල්ෆියක්', 'ගත්තා', 'සහජීවනේ', 'රැකගෙන', 'ඉදිරියට', 'යන්න', 'ඌ', 'ඒක', 'තාම', 'දාලා', 'නෑ', '...', 'පරයා']",1,"['මන්', 'ඊයේ', 'මුස්ලිම්', 'ඩෑල්', 'එකක්', 'එක්ක', 'සෙල්ෆියක්', 'ගත්තා', 'සහජීවනේ', 'රැකගෙන', 'ඉදිරියට', 'යන්න', 'ඌ', 'ඒක', 'තාම', 'දාලා', 'නෑ', 'පරයා']"
2,3,"['සංහිදියාවට', 'අවුලක්', 'වෙයි', 'ද']",0,"['සංහිදියාවට', 'අවුලක්', 'වෙයි', 'ද']"
3,4,"['.කටින්', 'පුරසාරම්', 'දොඩන', 'අපි', 'සිංහලයො', 'විදියට', 'ලැජ්ජා', 'විය', 'යුතුයි']",1,"['.කටින්', 'පුරසාරම්', 'දොඩන', 'අපි', 'සිංහලයො', 'විදියට', 'ලැජ්ජා', 'විය', 'යුතුයි']"
4,5,"['මචන්', 'ඔය', 'මගුල', 'නවත්තලා', 'කොන්දක්', 'තියෙනවානම්', 'පුලුවන්නම්', 'කරලා', 'පෙන්නපන්', 'ඔය', 'දෙසපාලනය', 'කරන', 'අයගෙන්', 'මෙ', 'රටට', 'මොකක්ද', 'වෙලාතියෙන්නෙ', 'කියලා', 'අන්න', 'එදාට', 'උබ', 'නියම', 'කොල්ලෙක්.පුලුවන්නම්', 'කරලා', 'පෙන්නනවාද', '.']",1,"['මචන්', 'ඔය', 'මගුල', 'නවත්තලා', 'කොන්දක්', 'තියෙනවානම්', 'පුලුවන්නම්', 'කරලා', 'පෙන්නපන්', 'ඔය', 'දෙසපාලනය', 'කරන', 'අයගෙන්', 'මෙ', 'රටට', 'මොකක්ද', 'වෙලාතියෙන්නෙ', 'කියලා', 'අන්න', 'එදාට', 'උබ', 'නියම', 'කොල්ලෙක්.පුලුවන්නම්', 'කරලා', 'පෙන්නනවාද']"
5,6,"['හැබැයි', 'ඒ', 'මේ', 'ආණ්ඩුවේ', 'විතරක්', 'නෙවෙයි', ',', 'රට', 'හූරාගෙන', 'තමන්ගෙ', 'බූදලය', 'කියල', 'හිතාගෙන', ',', 'රට', 'උගස්', 'තියල', 'සල්ලි', 'නයට', 'අරගෙන', 'තමතමන්ගෙ', 'පරම්පරාවෙ', 'එවුන්ටයි', 'හිතවත්', 'එවුන්ටයි', 'බෙදාගෙන', 'කන', 'සියලුම', 'දේශපාලකයන්', 'දුටු', 'දුටු', 'තැන', 'මරලා', 'දාන', 'දිනය', 'වැඩි', 'ඈතක', 'නෑ']",1,"['හැබැයි', 'ඒ', 'මේ', 'ආණ්ඩුවේ', 'විතරක්', 'නෙවෙයි', 'රට', 'හූරාගෙන', 'තමන්ගෙ', 'බූදලය', 'කියල', 'හිතාගෙන', 'රට', 'උගස්', 'තියල', 'සල්ලි', 'නයට', 'අරගෙන', 'තමතමන්ගෙ', 'පරම්පරාවෙ', 'එවුන්ටයි', 'හිතවත්', 'එවුන්ටයි', 'බෙදාගෙන', 'කන', 'සියලුම', 'දේශපාලකයන්', 'දුටු', 'දුටු', 'තැන', 'මරලා', 'දාන', 'දිනය', 'වැඩි', 'ඈතක', 'නෑ']"
6,7,"['ලංකාව', 'මොකක්ද..', 'මෙිකෙ', 'ඉන්නෙ', 'වාහනයක්', 'ගත්තම', 'අලි', 'ඔලුවෙන්', 'ඉන්න', 'පාරෙ', 'යන', 'වෙන', 'එකෙක්', 'ගැන', 'හිතන්නැති', 'නිරැවත්', 'පිංපියො', 'වගෙ', 'එවුන්', 'ටිකක්', 'නෙ', '.']",1,"['ලංකාව', 'මොකක්ද..', 'මෙිකෙ', 'ඉන්නෙ', 'වාහනයක්', 'ගත්තම', 'අලි', 'ඔලුවෙන්', 'ඉන්න', 'පාරෙ', 'යන', 'වෙන', 'එකෙක්', 'ගැන', 'හිතන්නැති', 'නිරැවත්', 'පිංපියො', 'වගෙ', 'එවුන්', 'ටිකක්', 'නෙ']"
7,9,"['උඹ', 'ලෝකයක්', 'ඉස්සරහ', 'හදාගත්ත', 'නම්බුව', 'ලංකාවේ', 'කාලකණ්ණි', 'එක', 'විනාඩියේන්', 'නැති', 'කරයි', '...', '..', 'බන්', '...', 'ඒ', 'හන්ද', 'දේශපාලනය', 'කරන්ට', 'එන්ට', 'එපා', 'මචංංංංං', '...', 'ගුඩ්ලක්', '...']",1,"['උඹ', 'ලෝකයක්', 'ඉස්සරහ', 'හදාගත්ත', 'නම්බුව', 'ලංකාවේ', 'කාලකණ්ණි', 'එක', 'විනාඩියේන්', 'නැති', 'කරයි', 'බන්', 'ඒ', 'හන්ද', 'දේශපාලනය', 'කරන්ට', 'එන්ට', 'එපා', 'මචංංංංං', 'ගුඩ්ලක්']"
8,10,"['පල්ලියකට', 'ගලක්', 'වැදුනත්', 'පරසක්වල', 'ගහන', 'මූ', 'පන්සල්', 'බිමට', 'සමතලා', 'කරද්දී', 'සද්ද', 'නෑ.මූට', 'කොහොමත්', 'ඡන්දෙ', 'නම්', 'දෙන්නෙ', 'නෑ', '.']",1,"['පල්ලියකට', 'ගලක්', 'වැදුනත්', 'පරසක්වල', 'ගහන', 'මූ', 'පන්සල්', 'බිමට', 'සමතලා', 'කරද්දී', 'සද්ද', 'නෑ.මූට', 'කොහොමත්', 'ඡන්දෙ', 'නම්', 'දෙන්නෙ', 'නෑ']"
9,11,"['පංසල්', 'විනාශ', 'කරද්දී', 'ඇරෙන්නේ', 'නැති', 'සංගාගේ', 'කට', 'පල්ලියට', 'ගල්', 'ගහද්දි', 'ඇරුණා', '.එහෙම', 'නායකත්වයක්', 'සිංහල', 'රට', 'ජාතිය', 'හදයිද']",1,"['පංසල්', 'විනාශ', 'කරද්දී', 'ඇරෙන්නේ', 'නැති', 'සංගාගේ', 'කට', 'පල්ලියට', 'ගල්', 'ගහද්දි', 'ඇරුණා', '.එහෙම', 'නායකත්වයක්', 'සිංහල', 'රට', 'ජාතිය', 'හදයිද']"
